CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,263,-5,82,-,"2,569.70",218.90,75,"2,569.75","2,591.15",75,"22,300.00",675,1.70,1.85,525,-0.65,1.70,33.57,"40,724",920,"4,203",
,44,-,1,-,"2,525.00",275.00,750,"2,469.55","2,579.85",675,"22,350.00",150,1.65,2.15,750,-0.85,1.65,32.85,"14,521",291,577,
,370,-1,79,-,"2,483.95",214.45,75,"2,442.45","2,508.95",75,"22,400.00",75,1.70,1.85,225,-0.75,1.85,32.65,"56,502","3,943","9,060",
,73,-,-,-,"2,405.35",-,150,"2,015.10","2,792.90",150,"22,450.00","1,425",1.65,2.15,750,-0.95,1.70,31.74,"18,842",488,937,
,"7,020",-80,824,-,"2,380.10",213.15,75,"2,383.20","2,394.95",75,"22,500.00","4,200",1.95,2.05,825,-0.95,2.05,31.79,"1,68,208","8,175","73,582",
,85,-,-,-,"1,985.00",-,225,"2,289.10","2,377.35",150,"22,550.00","3,900",2.00,2.30,"1,800",-1.05,2.00,31.08,"21,932",298,"1,195",
,"1,215",-,1,53.82,"2,350.00",290.75,150,"2,282.70","2,323.95",225,"22,600.00","2,250",2.00,2.15,300,-0.85,2.20,30.80,"59,841","1,837","6,286",
,98,-,-,-,"2,133.20",3.45,750,"2,171.40","2,279.95",750,"22,650.00","4,500",1.90,2.30,"1,500",-1.10,2.30,30.34,"22,095",451,"1,013",
,"3,563",-,42,-,"2,188.60",225.75,750,"2,130.75","2,227.15",750,"22,700.00","4,800",2.05,2.35,"1,275",-1.15,2.10,29.39,"62,663",-735,"8,371",
,92,-8,8,-,"2,019.45",111.15,150,"1,833.40","2,424.15","1,800","22,750.00",150,2.10,2.65,"1,500",-1.40,2.20,28.93,"25,552",396,"1,148",
,"1,186",-6,16,-,"2,074.00",223.30,75,"2,031.40","2,116.45",75,"22,800.00","1,500",2.35,2.40,75,-1.35,2.30,28.45,"97,140","5,070","14,252",
,72,-,-,-,"1,685.00",-,150,"1,983.80","2,063.35",75,"22,850.00",375,2.35,2.75,"1,500",-1.65,2.35,27.90,"37,162","1,860","2,654",
,"2,322",-2,7,-,"1,971.05",223.40,750,"1,931.80","2,027.60",750,"22,900.00","3,000",2.45,2.70,225,-1.80,2.55,27.55,"1,02,247","5,659","9,971",
,45,-,-,-,"1,701.65",-,150,"1,890.00","1,974.55",150,"22,950.00",75,2.55,3.15,750,-1.80,2.90,27.35,"34,404",890,"2,019",
,"12,350",-587,"1,699",-,"1,890.55",234.00,75,"1,885.90","1,892.40",75,"23,000.00","1,875",3.05,3.15,"1,425",-1.75,3.10,27.00,"4,13,104","26,474","1,29,059",
,55,-2,7,45.99,"1,904.50",379.50,150,"1,801.45","1,868.95",150,"23,050.00",75,3.20,3.40,600,-1.85,3.25,26.45,"33,002",706,"2,105",
,"1,269",-6,6,-,"1,774.05",213.35,300,"1,733.15","1,828.15",750,"23,100.00","2,475",3.50,3.60,150,-2.25,3.50,26.06,"1,39,849","-2,718","16,051",
,60,-,2,43.17,"1,800.00",300.00,150,"1,683.35","1,758.95",75,"23,150.00",75,3.55,3.75,150,-2.15,3.60,25.50,"33,878",691,"1,670",
,"1,684",-8,16,37.06,"1,725.95",268.80,375,"1,659.05","1,729.75",150,"23,200.00",75,3.80,3.85,300,-1.80,3.85,25.07,"1,68,750","1,285","20,929",
,95,-,-,-,"1,739.95",-,750,"1,580.25","1,678.70",750,"23,250.00","1,800",4.15,4.30,300,-2.55,4.20,24.71,"59,105","1,708","4,730",
,"1,209",-15,49,-,"1,575.00",214.45,75,"1,551.00","1,629.15",750,"23,300.00",825,4.45,4.55,"43,050",-2.30,4.55,24.27,"1,86,764","16,891","30,634",
,123,-1,3,38.17,"1,594.15",398.15,150,"1,485.10","1,579.65",150,"23,350.00",375,5.00,5.10,"1,875",-2.50,5.10,24.04,"44,525","2,629","4,095",
,"1,405",-20,36,-,"1,482.95",212.15,75,"1,485.45","1,500.35",75,"23,400.00","2,100",5.35,5.50,"2,025",-2.40,5.35,23.55,"1,63,918","10,103","26,639",
,132,-6,6,24.51,"1,450.00",341.85,75,"1,405.20","1,473.85",150,"23,450.00",75,5.75,6.05,75,-2.25,6.20,23.44,"44,129",558,"4,758",
,"13,535",-250,973,-,"1,390.00",229.35,75,"1,390.00","1,395.00",150,"23,500.00",450,6.70,6.80,"4,500",-3.30,6.70,22.93,"3,81,507","35,596","1,01,788",
,191,-1,11,36.60,"1,407.75",331.90,75,"1,320.30","1,382.25",150,"23,550.00",900,7.05,7.65,750,-3.40,7.10,22.43,"56,495","1,583","4,934",
,"4,020",-394,733,-,"1,286.85",227.50,75,"1,273.40","1,306.55",75,"23,600.00","1,200",7.95,8.30,75,-3.95,7.85,22.08,"2,08,528","6,699","30,835",
,102,2,40,-,"1,200.00",194.00,150,"1,217.50","1,273.35",150,"23,650.00","1,125",8.50,9.00,75,-4.05,9.00,21.86,"98,502","9,653","13,372",
,"2,827",45,413,-,"1,190.00",224.55,225,"1,191.30","1,197.95",75,"23,700.00",900,9.90,10.00,150,-5.05,9.85,21.46,"2,61,874","14,660","35,797",
,186,-32,58,23.29,"1,160.00",234.35,150,"1,111.60","1,172.65",75,"23,750.00","1,125",10.75,11.30,"1,800",-5.85,10.75,21.04,"94,380","3,753","7,062",
,"3,184",-45,351,-,"1,090.00",220.35,300,"1,091.70","1,102.40",300,"23,800.00",225,12.15,12.85,150,-6.90,12.15,20.76,"3,02,985","21,576","46,727",
,"1,017",7,84,13.69,"1,043.35",215.75,75,"1,045.35","1,052.15",75,"23,850.00",675,13.45,14.00,150,-8.45,13.75,20.47,"1,35,407","2,379","7,472",
,"2,218",-77,602,15.64,996.20,216.40,75,998.35,"1,003.50",75,"23,900.00","1,950",15.20,15.50,300,-10.10,15.25,20.10,"2,75,947","6,722","39,172",
,325,13,79,18.39,954.65,230.75,75,950.45,956.45,75,"23,950.00",450,17.05,17.40,600,-11.70,17.05,19.77,"1,64,583","2,726","13,983",
,"28,975",-854,"15,420",17.37,904.00,218.20,75,903.05,908.30,225,"24,000.00","14,925",19.80,19.95,"1,200",-13.60,20.00,19.58,"8,20,539","21,057","1,30,070",
,690,3,190,18.04,859.55,218.95,75,855.50,861.40,75,"24,050.00","1,350",22.20,23.00,"1,350",-16.55,22.40,19.29,"1,84,386","13,709","18,081",
,"6,963",-77,"2,283",17.89,812.70,215.30,75,809.35,814.45,300,"24,100.00","1,500",25.15,25.35,600,-18.90,25.40,18.95,"3,34,803","13,183","32,422",
,577,-18,443,15.83,757.55,206.40,75,761.00,767.20,75,"24,150.00",675,28.20,29.20,750,-21.20,29.00,18.75,"2,46,238","10,628","16,164",
,"8,967",-228,"5,308",17.12,718.00,204.80,75,716.00,721.20,75,"24,200.00",675,32.20,32.40,825,-26.80,32.10,18.39,"6,35,652","14,581","65,300",
,746,-3,"1,209",16.37,669.10,196.40,75,670.95,675.00,75,"24,250.00",600,37.00,37.50,300,-32.45,37.00,18.14,"3,03,046","10,867","18,774",
,"7,982",-877,"9,199",16.63,626.70,194.40,300,626.75,630.65,150,"24,300.00",600,42.25,43.15,150,-36.30,42.70,17.93,"6,34,857","8,787","41,537",
,"1,052",-109,"3,163",16.41,582.75,188.55,75,582.35,587.15,75,"24,350.00",150,48.75,49.50,525,-41.60,49.50,17.78,"3,17,566","8,538","14,087",
,"9,930","-1,693","28,123",16.73,543.00,186.60,75,539.95,543.65,150,"24,400.00",150,55.60,55.85,300,-49.20,55.65,17.47,"7,98,791","24,120","67,367",
,"1,171",-394,"10,974",16.31,498.90,176.85,75,498.40,502.75,75,"24,450.00",150,64.10,64.70,150,-56.90,64.10,17.38,"3,48,071","4,296","13,588",
,"46,252","-10,465","1,94,682",16.07,457.30,168.15,75,457.90,460.00,"2,100","24,500.00",75,73.10,73.45,300,-63.60,73.70,17.04,"13,60,773","32,093","1,22,441",
,"4,580","-3,465","55,372",16.40,422.50,164.00,150,419.10,421.80,150,"24,550.00",150,83.90,84.35,75,-72.45,84.35,16.87,"4,78,498","7,105","16,054",
,"31,710","-27,286","4,38,484",16.09,385.00,155.85,75,382.00,383.50,75,"24,600.00",375,96.20,96.60,375,-82.25,96.00,16.73,"13,58,692","9,104","67,489",
,"7,044","-6,673","3,42,084",16.06,347.80,143.85,75,346.30,347.80,225,"24,650.00",375,110.00,110.90,300,-90.15,110.25,16.60,"7,10,422","7,414","19,667",
,"37,506","-12,451","9,03,093",15.89,311.70,132.80,150,311.35,312.90,150,"24,700.00",225,125.55,126.45,450,-100.90,125.00,16.44,"14,32,527","25,596","68,015",
,"9,000",-216,"6,94,146",15.83,280.00,123.55,300,279.35,280.30,75,"24,750.00",150,143.25,143.85,300,-108.30,144.20,16.36,"8,02,498","10,508","17,163",
,"61,391","-1,902","17,38,697",15.67,249.30,113.55,300,249.30,249.90,75,"24,800.00",225,162.75,163.55,150,-120.50,162.75,16.26,"17,38,920","44,464","75,153",
,"21,930","10,230","11,46,375",15.63,221.30,103.50,450,221.15,222.00,75,"24,850.00",75,184.00,184.95,225,-129.20,184.30,16.17,"9,46,092","17,793","23,442",
,"64,371","28,468","18,59,587",15.51,194.05,92.75,300,193.40,194.40,150,"24,900.00",75,207.65,208.00,300,-136.15,207.65,16.06,"11,56,817","35,956","47,198",
,"22,246","12,416","9,08,240",15.43,170.25,82.75,"1,050",169.75,170.00,75,"24,950.00",75,233.05,234.00,150,-149.65,234.20,16.09,"2,54,139","6,026","7,967",
,"1,03,026","-12,915","22,21,219",15.26,146.55,72.70,"6,450",146.00,146.70,150,"25,000.00",75,259.75,260.90,150,-160.35,260.55,15.91,"5,09,862","6,620","54,728",
,"15,387","3,903","6,52,182",15.29,126.20,63.25,150,126.45,127.00,75,"25,050.00",150,289.25,290.90,150,-167.00,290.90,15.89,"36,856",562,"3,654",
,"39,928","4,731","11,15,562",15.13,108.90,55.20,450,107.55,108.25,75,"25,100.00",75,320.65,322.60,75,-181.35,320.65,15.83,"64,520",512,"13,188",
,"10,328","1,449","6,21,407",15.10,91.40,45.80,150,91.40,91.85,150,"25,150.00",150,354.00,356.75,150,-185.10,355.95,16.03,"8,556",424,"1,169",
,"53,873","10,629","14,20,257",15.02,76.80,38.55,75,76.55,76.90,300,"25,200.00",150,387.85,390.60,75,-194.20,390.00,15.76,"39,650","1,553","4,700",
,"12,563","5,668","6,16,187",14.96,64.45,32.20,75,63.65,64.15,225,"25,250.00",150,425.35,429.05,150,-190.25,431.40,16.17,"3,775",230,493,
,"55,662","23,032","10,50,561",14.89,52.00,24.80,600,52.60,52.80,150,"25,300.00",75,464.00,467.15,75,-210.80,464.20,15.56,"10,863",398,"1,468",
,"13,115","5,617","5,03,242",14.86,43.55,20.45,375,43.30,43.55,75,"25,350.00",75,503.85,508.70,300,-212.40,506.05,15.73,542,1,161,
,"57,240","9,076","9,13,169",14.78,35.20,16.05,300,35.15,35.40,225,"25,400.00",150,546.15,550.00,150,-217.50,545.55,15.48,"3,978",270,"1,403",
,"14,286","5,021","4,44,235",14.82,28.90,12.45,150,28.50,28.95,600,"25,450.00",150,587.20,595.80,75,-225.65,600.10,17.07,285,-27,142,
,"94,371","6,876","14,38,851",14.82,23.50,9.40,"1,350",23.40,23.50,900,"25,500.00",300,634.10,638.55,225,-224.25,635.00,15.98,"13,186",-629,"11,342",
,"14,623","6,754","4,05,434",14.76,18.40,6.55,300,18.40,18.50,150,"25,550.00",300,628.70,736.15,"1,800",-221.25,688.65,17.40,88,8,150,
,"42,689","14,556","6,73,743",14.72,14.55,4.50,"2,025",14.50,14.70,225,"25,600.00",75,724.55,729.00,75,-230.40,727.85,16.48,516,120,"1,123",
,"11,197","5,504","3,11,245",14.78,11.20,2.55,525,11.30,11.90,750,"25,650.00",300,720.15,823.20,750,-205.60,786.25,18.83,38,-1,103,
,"54,269","23,664","5,82,900",14.81,9.00,1.65,"1,500",9.10,9.25,"1,500","25,700.00",75,814.05,825.15,300,-221.05,830.00,18.60,287,-22,423,
,"20,530","12,314","2,65,507",14.81,7.05,0.85,"1,350",7.00,7.30,"1,350","25,750.00",750,830.10,925.00,75,-281.65,888.00,20.90,35,-,90,
,"74,070","33,825","5,82,361",14.85,5.65,0.10,300,5.65,5.80,"1,050","25,800.00",300,915.10,921.75,150,-219.85,921.00,18.31,775,2,751,
,"13,005","6,188","1,70,384",15.02,4.70,-0.25,"2,475",4.55,4.65,"3,300","25,850.00",150,927.30,"1,021.55","1,800",-242.75,"1,006.00",25.57,2,-,16,
,"36,569","2,948","3,74,608",15.11,3.70,-0.80,"2,325",3.60,3.70,"1,275","25,900.00",75,"1,013.55","1,036.35",75,-242.15,"1,022.85",20.34,111,16,"1,669",
,"10,731","6,100","1,35,537",15.25,3.05,-0.90,"1,800",2.95,3.00,150,"25,950.00","1,050","1,024.85","1,103.45",150,-,"1,403.45",-,-,-,27,
,"1,74,367","28,669","8,16,190",15.54,2.65,-1.05,"4,350",2.60,2.65,375,"26,000.00",75,"1,111.95","1,116.05",75,-229.50,"1,113.75",19.16,"1,663",50,"5,074",
,"8,262","4,904","1,28,214",15.81,2.25,-1.00,525,2.25,2.30,"1,800","26,050.00",750,"1,123.75","1,219.60",750,-3.55,"1,375.35",-,-,-,40,
,"50,504","17,943","3,10,255",15.97,1.85,-1.00,450,1.85,1.90,150,"26,100.00",750,"1,171.60","1,250.95",300,-,"1,487.00",-,-,-,44,
,"10,482","4,684","98,241",16.41,1.75,-0.80,"6,150",1.65,1.75,"1,800","26,150.00",750,"1,222.30","1,296.60",150,-,"1,474.25",-,-,-,7,
,"57,511","1,269","2,84,732",16.84,1.65,-0.65,"3,975",1.60,1.65,"10,875","26,200.00",150,"1,271.45","1,342.05",225,-215.35,"1,320.60",24.31,2,-2,30,
,"17,047","2,519","79,612",17.32,1.60,-0.65,"3,825",1.50,1.60,150,"26,250.00",750,"1,321.80","1,418.70","1,800",-365.05,"1,337.55",-,4,1,9,
,"39,383","1,795","1,64,126",17.58,1.40,-0.55,"49,425",1.40,1.45,"13,200","26,300.00",150,"1,370.95","1,448.75",150,-,"1,755.40",-,-,-,32,
,"23,760",776,"95,240",18.04,1.35,-0.50,"12,675",1.30,1.35,"9,000","26,350.00",750,"1,419.95","1,502.75",150,-,"1,804.95",-,-,-,12,
,"20,566","2,653","1,04,882",18.57,1.35,-0.50,"40,725",1.30,1.35,"15,000","26,400.00",750,"1,470.45","1,567.80",750,-,"1,854.65",-,-,-,39,
,"8,015","4,996","48,411",19.01,1.30,-0.50,"1,800",1.30,1.50,"1,500","26,450.00",750,"1,519.55","1,617.45",750,-,"1,906.45",-,-,-,8,
,"1,13,644","4,018","4,50,327",19.62,1.35,-0.55,"1,500",1.35,1.40,"3,225","26,500.00",150,"1,585.95","1,638.60",150,-215.10,"1,622.65",29.33,229,-113,922,
,"11,036","2,984","48,707",19.96,1.25,-0.40,75,1.15,1.35,"1,800","26,550.00",750,"1,618.75","1,717.35",750,-,"2,037.30",-,-,-,10,
,"21,090","3,466","1,12,299",20.47,1.25,-0.40,"15,300",1.25,1.30,"7,875","26,600.00",750,"1,669.40","1,767.70",750,-205.00,"1,714.50",27.85,14,-,33,
,"8,668",-309,"57,937",21.17,1.35,-0.40,300,1.35,1.45,675,"26,650.00",750,"1,721.90","1,823.50",750,-,"2,099.75",-,-,-,8,
,"21,631","8,551","1,15,104",21.68,1.35,-0.40,"11,400",1.30,1.35,75,"26,700.00",750,"1,764.95","1,873.25",750,7.90,"2,060.00",-,-,-,14,
,"6,748","1,544","75,211",22.00,1.25,-0.35,"3,000",1.20,1.25,"8,775","26,750.00",750,"1,822.00","1,924.45",750,-,"2,201.25",-,-,-,4,
,"1,08,274","34,363","4,85,094",22.61,1.30,-0.35,"1,725",1.25,1.30,"41,925","26,800.00","1,800","1,869.05","1,919.70",150,-250.55,"1,905.55",24.67,748,711,"1,002",
